Unverified Manufacturers (352 total)
Generated: 2026-01-29T22:18:42.743Z

NAME	CATEGORY	COUNTRY	FILE
Moxa Americas	electrical	undefined	m/moxa-americas.yaml
Mueller Co. (Water Products)	plumbing	undefined	m/mueller-co.yaml
Mueller Co. (Water Products)	plumbing, hydronics	undefined	m/mueller-company.yaml
Mueller Streamline Co.	plumbing, hvac	undefined	m/mueller-streamline.yaml
Mueller Co. Water Products	plumbing	undefined	m/mueller-water-products.yaml
Munters (US)	hvac	undefined	m/munters-us.yaml
Munters	hvac	undefined	m/munters.yaml
Murdock Manufacturing	plumbing	undefined	m/murdock-manufacturing.yaml
Myers (Pentair)	plumbing, pumps, sump-sewage	undefined	m/myers-pumps.yaml
Myers (Pentair)	plumbing	undefined	m/myers.yaml
Nailor Industries	hvac	undefined	n/nailor.yaml
NDS	plumbing	undefined	n/nds.yaml
Neoperl	plumbing	undefined	n/neoperl.yaml
Neptronic	hvac	undefined	n/neptronic.yaml
New Yorker Boiler	hvac	undefined	n/new-yorker-boiler.yaml
Niagara Conservation	plumbing	undefined	n/niagara-conservation.yaml
Nordyne	hvac	undefined	n/nordyne.yaml
Noritz America	plumbing, hydronics	undefined	n/noritz.yaml
Nortek Global HVAC	hvac	undefined	n/nortek-global-hvac.yaml
NSI Industries	electrical	undefined	n/nsi-industries.yaml
NTI Boilers	hvac, plumbing	undefined	n/nti-boilers.yaml
Nu-Air Ventilation Systems Inc.	hvac	undefined	n/nu-air.yaml
Nupi Americas	plumbing, hydronics	undefined	n/nupi-americas.yaml
nVent ERICO	electrical	undefined	n/nvent-erico.yaml
nVent HOFFMAN	electrical	undefined	n/nvent-hoffman.yaml
OASIS International	plumbing	undefined	o/oasis-international.yaml
Oatey	plumbing	undefined	o/oatey.yaml
The Okonite Company	electrical	undefined	o/okonite.yaml
OMRON Automation	electrical	undefined	o/omron-automation.yaml
Oventrop	hvac	undefined	o/oventrop.yaml
Panasonic HVAC / IAQ	hvac	undefined	p/panasonic.yaml
Panduit	electrical	undefined	p/panduit.yaml
Payne HVAC	hvac	undefined	p/payne.yaml
PB Heat (Peerless Boilers)	hvac	undefined	p/pb-heat.yaml
PennBarry	hvac	undefined	p/pennbarry.yaml
Pentair - Hydromatic	plumbing	undefined	p/pentair-hydromatic.yaml
Pentair - Myers	plumbing	undefined	p/pentair-myers.yaml
Pentek (Pentair)	plumbing	undefined	p/pentek.yaml
Phoenix Contact	electrical	undefined	p/phoenix-contact.yaml
Plad	hvac, plumbing	undefined	p/plad.yaml
Plasma Air	hvac	undefined	p/plasma-air.yaml
POWERS (Watts Brand)	plumbing, hydronics	undefined	p/powers.yaml
Precision Boilers	hvac	undefined	p/precision-boilers.yaml
PRIER Products	plumbing	undefined	p/prier.yaml
Prysmian Group North America (General Cable / Draka)	electrical	undefined	p/prysmian.yaml
PVI	hvac	undefined	p/pvi.yaml
QuantumFlo	hvac, plumbing	undefined	q/quantumflo.yaml
RAB Lighting	electrical	undefined	r/rab-lighting.yaml
RBI	hvac	undefined	r/rbi-water-heaters.yaml
RED-WHITE VALVE CORP.	plumbing, hydronics	undefined	r/red-white-valve.yaml
REHAU	plumbing	undefined	r/rehau.yaml
Reliable Automatic Sprinkler Co., Inc.	plumbing	undefined	r/reliable-automatic-sprinkler.yaml
Reliance Worldwide / SharkBite	plumbing	undefined	r/reliance-worldwide.yaml
Remeha	hvac	undefined	r/remeha.yaml
RenewAire	hvac	undefined	r/renewaire.yaml
Resideo	hvac	undefined	r/resideo.yaml
Riello North America	hvac	undefined	r/riello.yaml
Rite Boilers	hvac	undefined	r/rite-boiler.yaml
Rittal	electrical	undefined	r/rittal.yaml
ROCA USA	plumbing	undefined	r/roca.yaml
Rockwell Automation	electrical	undefined	r/rockwell-automation.yaml
Ruskin	hvac	undefined	r/ruskin.yaml
Reliance Worldwide Corporation (RWC)	plumbing	undefined	r/rwc.yaml
Safgard	hvac	undefined	s/safgard.yaml
Samsung HVAC	hvac	undefined	s/samsung-hvac.yaml
S&C Electric Company	electrical	undefined	s/sandc-electric.yaml
SFA Saniflo	plumbing	undefined	s/saniflo.yaml
Scot Pump	hvac, plumbing	undefined	s/scot-pump.yaml
Schweitzer Engineering Laboratories	electrical	undefined	s/sel.yaml
Selkirk	hvac	undefined	s/selkirk.yaml
Sentinel	hvac	undefined	s/sentinel.yaml
SFA Saniflo	plumbing	undefined	s/sfa-saniflo.yaml
Siemens	electrical	undefined	s/siemens.yaml
Signify	electrical	undefined	s/signify.yaml
Sime	hvac	undefined	s/sime.yaml
Smith Cast Iron Boilers	hvac	undefined	s/smith-boilers.yaml
Smith Cast Iron Boilers	hydronics, boilers	undefined	s/smith-cast-iron.yaml
Soler & Palau (S&P USA Ventilation Systems)	hvac	undefined	s/soler-palau.yaml
Southwire	electrical	undefined	s/southwire.yaml
SpacePak	hvac	undefined	s/spacepak.yaml
Spears Manufacturing	plumbing	undefined	s/spears.yaml
Spirax Sarco	hvac	undefined	s/spirax-sarco.yaml
Spirotherm	hvac	undefined	s/spirotherm.yaml
SPX Cooling Technologies (Marley)	hvac	undefined	s/spx-cooling-technologies.yaml
Sta-Rite (Pentair)	plumbing	undefined	s/sta-rite.yaml
Stiebel Eltron USA	hvac	undefined	s/stiebel-eltron.yaml
STULZ USA	hvac	undefined	s/stulz.yaml
Suntec Industries	hvac	undefined	s/suntec.yaml
Superior Boiler	hvac	undefined	s/superior-boiler.yaml
Swegon North America	hvac, airflow	undefined	s/swegon.yaml
Symmons	plumbing	undefined	s/symmons.yaml
Systemair USA	hvac, airflow	undefined	s/systemair.yaml
Taco Hydroflo Pump Solutions	hvac, plumbing	undefined	t/taco-hydroflo.yaml
Takagi Tankless	plumbing	undefined	t/takagi.yaml
Tecumseh Products Company	hvac	undefined	t/tecumseh.yaml
tekmar Control Systems (Watts)	hvac	undefined	t/tekmar.yaml
Temtrol	hvac	undefined	t/temtrol.yaml
Therma-Stor	hvac	undefined	t/therma-stor.yaml
Thermal Solutions	hvac	undefined	t/thermal-solutions.yaml
TOTO	plumbing	undefined	t/toto.yaml
TPI Corporation	electrical	undefined	t/tpi-corporation.yaml
Tranter	hvac	undefined	t/tranter.yaml
Eaton Tripp Lite	electrical	undefined	t/tripp-lite.yaml
TROX Group	hvac, airflow	undefined	t/trox.yaml
T&S Brass	plumbing	undefined	t/ts-brass.yaml
Tsurumi	hvac	undefined	t/tsurumi.yaml
Turck USA	electrical	undefined	t/turck.yaml
Twin City Fan & Blower	airflow, hvac	undefined	t/twin-city-fan.yaml
Tyco Fire Products	plumbing	undefined	t/tyco-fire-products.yaml
Tyler Pipe & Coupling (McWane)	plumbing	undefined	t/tyler-pipe.yaml
The Unico System	hvac	undefined	u/unico.yaml
Uponor North America	hvac, plumbing	undefined	u/uponor.yaml
U.S. Boiler Company	hvac	undefined	u/us-boiler.yaml
Valent Air	hvac	undefined	v/valent-air.yaml
Valent Air	hvac	undefined	v/valent.yaml
Velocity Boiler Works	hvac	undefined	v/velocity-boiler-works.yaml
Venmar Systems, Inc.	hvac	undefined	v/venmar-systems.yaml
Vertiv (Liebert Thermal Management)	hvac	undefined	v/vertiv-liebert.yaml
Vertiv	electrical	undefined	v/vertiv.yaml
Viking Corporation	plumbing	undefined	v/viking-corporation.yaml
Vilter (Copeland)	hvac	undefined	v/vilter.yaml
Wade Drains	plumbing	undefined	w/wade-drains.yaml
WAGO	electrical	undefined	w/wago.yaml
Ward Manufacturing (WardFLEX / Ward Fittings)	plumbing	undefined	w/ward-manufacturing.yaml
WARDFlex (Ward Manufacturing / ASC Engineered Solutions)	plumbing, hydronics	undefined	w/wardflex.yaml
Watco Manufacturing	plumbing	undefined	w/watco-manufacturing.yaml
Watco Manufacturing Company	plumbing	undefined	w/watco-mfg.yaml
Water Ace (Pentair)	plumbing	undefined	w/water-ace.yaml
WaterFurnace (Tech Services)	hvac	undefined	w/waterfurnace-tech-services.yaml
WAYNE Pumps	plumbing	undefined	w/wayne-pumps.yaml
Wayne Water Systems	plumbing	undefined	w/wayne-water-systems.yaml
Weidmüller	electrical	undefined	w/weidmuller.yaml
Weil Pump	hvac, plumbing	undefined	w/weil-pump.yaml
Weinman	hvac	undefined	w/weinman.yaml
Weishaupt	hvac	undefined	w/weishaupt.yaml
Wellmate (Pentair)	plumbing	undefined	w/wellmate.yaml
